raw_affiliation_string,to remove
"ESH/DHL Universitäres Hypertoniezentrum/Experimentelle Gefäßmedizin und Transplantationsforschung, Klinik für Nieren- und Hochdruckerkrankungen, Medizinische Hochschule Hannover, Carl-Neuberg-Str. 1, D-30625, Hannover, Deutschland. Limbourg.Florian@mh-hannover.de",Medizinische Hochschule Hannover (MHH)
"Ear, Nose and Throat Department, University Clinic Oldenburg, Oldenburg",Carl von Ossietzky Universität Oldenburg
Eco‐Systems  Hamburg Germany,Medizinische Hochschule Hannover (MHH)
Eco‐Systems Hamburg Germany,Medizinische Hochschule Hannover (MHH)
"Education, Gӧttingen University, Gottingen, Germany",Georg-August-Universität Göttingen
"Elitary Research Centre of Individualised Medicine in Arterial Disease (CIMA), J.B. Winsløv Vej 4, DK-5000, Odense C, Denmark",Medizinische Hochschule Hannover (MHH)
"Emden Hospital, Department of Respiratory Medicine, Bolardusstrasse 20, 26721 Emden",Hochschule Emden/Leer
"Emden Hospital, Department of Respiratory Medicine, Bolardusstrasse 20, 26721 Emden, Germany",Hochschule Emden/Leer
"Emden/Leer University of Applied Sciences, Germany",Hochschule Emden/Leer
"Emdener Str. 22 , C/o Goeller , Berlin , Germany",Hochschule Emden/Leer
"Emdener Str. 22, C/o Goeller, 10551Berlin, Germany",Hochschule Emden/Leer
"Emergency Department, University Medicine Göttingen, Göttingen, Germany",Universitätsmedizin Göttingen
"Endocrinology in Charlottenburg , Berlin 10627 ,",Carl von Ossietzky Universität Oldenburg
"Energy Division, OFFIS – Institute for Information Technology, Escherweg 2, Oldenburg, 26121, Lower Saxony, Germany",Carl von Ossietzky Universität Oldenburg
Energy Systems Technology DLR Institute of Networked Energy Systems Carl‐von‐Ossietzky Str. 15 26129 Oldenburg Germany,Carl von Ossietzky Universität Oldenburg
"Epilepsy Center Münster‐Osnabrück, Campus Osnabrück  Osnabrück Germany",Universität Osnabrück
"Epilepsy Center, Münster‐Osnabrück, Campus Osnabrück  Osnabrück Germany",Universität Osnabrück
"Equal Opportunity Office, Technische Universität Braunschweig, Braunschweig, Germany",Technische Universität Braunschweig
Erlangen Braunschweig/D,Technische Universität Braunschweig
"Ethics approval is not required for this study, because we will not analyze individual data",Medizinische Hochschule Hannover (MHH)
"Ethno-Medical Center, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"European Institute for Molecular Imaging (EIMI), Waldeyerstr. 15, 48149, Münster, Germany. Electronic address: anna.junker@wwu.de",Georg-August-Universität Göttingen
"European Neuroscience Center, Göttingen, Germany",Georg-August-Universität Göttingen
European Neuroscience Institute Göttingen – A Joint Initiative of the University Medical Center Göttingen and the Max-Planck Society,Universitätsmedizin Göttingen
"Evangelic Hospital Oldenburg, Steinweg 13-17, 26122, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Evangelic University Hospital of Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Evangelisches Krankenhaus Witten gGmbH, Urologische Klinik, Lehrstuhl für Geriatrie, Universität Witten/Herdecke, Pferdebachstr. 27, 58455, Witten, Deutschland",Carl von Ossietzky Universität Oldenburg
"Evangelisches Krankhaus Oldenburg, Universitätsklinik für Hals-Nasen-Ohren-Heilkunde",Carl von Ossietzky Universität Oldenburg
"Executive Director, Lori's Hands",Gottfried Wilhelm Leibniz Universität Hannover
"FIELAX Gesellschaft für wissenschaftliche Datenverarbeitung mbH, Bremerhaven, Germany",Georg-August-Universität Göttingen
"Fachbereich 7: Sprach- und Literaturwissenschaft, Universität Osnabrück, Neuer Graben 40, 49074, Osnabrück, Deutschland",Hochschule Osnabrück
"Fachbereich BGG, Jade Hochschule Oldenburg, Germany",Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth
"Fachbereich Feuerwehr, Stadt Braunschweig, Eisenbütteler Str. 2, 38122, Braunschweig, Deutschland",Technische Universität Braunschweig
"Fachbereich Feuerwehr, Stadt Braunschweig, Eisenbütteler Straße 2, 38122, Braunschweig, Deutschland",Technische Universität Braunschweig
"Fachbereich Physik , Universität Osnabrück , D-49069 Osnabrück , Germany",Universität Osnabrück
"Fachbereich Physik, Universität Osnabrück , Barbarastr. 7 , D-49076 Osnabrück , Germany",Universität Osnabrück
"Fachbereich Physik, Universität Osnabrück, 49069, Osnabrück, Germany",Universität Osnabrück
"Fachbereich Physik, Universität Osnabrück, Barbarastraße 7, D-49076 Osnabrück, Germany",Universität Osnabrück
"Fachbereich Physik, Universität Osnabrück, D-49069 Osnabrück, Germany",Universität Osnabrück
"Fachbereich Physik, Universität Osnabrück, Osnabrück, Germany",Universität Osnabrück
"Fachgebiet Informationsmanagement und Wirtschaftsinformatik, Universität Osnabrück, Parkstraße 40, 49080, Osnabrück, Deutschland",Hochschule Osnabrück
"Fachklinik Kinder und Jugendliche Psychiatrie, AMEOS Klinikum Hildesheim, Akademisches Lehrkrankenhaus für Pflege der FOM Hochschule Essen, Hildesheim, Germany",Stiftung Universität Hildesheim
"Faculty III/Mid-Research Group, Hochschule Hannover - University of Applied Sciences and Arts, Hannover, Expo Plaza 12, 30539, Hannover, Germany. sam.ibeneme@unn.edu.ng",Hochschule Hannover
"Faculty for Biology and Psychology, University of Goettingen, Goettingen, Germany. treue@gwdg.de",Georg-August-Universität Göttingen
"Faculty of Agricultural Sciences and Landscape Architecture, Osnabrueck University of Applied Science, Am Kruempel 31, 49090 Osnabrueck, Germany",Universität Osnabrück
"Faculty of Biology and Psychology, Georg-August University, 37073 Göttingen, Germany",Georg-August-Universität Göttingen
"Faculty of Biology and Psychology, University of Goettingen, Göttingen, Germany. hscherberger@dpz.eu",Georg-August-Universität Göttingen
"Faculty of Biology and Psychology, University of Goettingen, Göttingen, Germany. sgreulich@dpz.eu",Georg-August-Universität Göttingen
"Faculty of Biology and Psychology, University of Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
"Faculty of Business Management and Social Sciences (WiSo), Osnabrück University of Applied Sciences, Osnabrück, Germany",Universität Osnabrück
"Faculty of Business Management and Social Sciences, Osnabrück University of Applied Sciences, Albrechtstr. 30, 49076, Osnabrück, Germany",Universität Osnabrück
"Faculty of Business Management and Social Sciences, Osnabrück University of Applied Sciences, Albrechtstr. 30, 49076, Osnabrück, Germany",Universität Osnabrück
"Faculty of Business Management and Social Sciences, Osnabrück University of Applied Sciences, Osnabrück, Germany",Hochschule Osnabrück
"Faculty of Business StudiesUniversity of Applied Sciences Emden/Leer Emden, Germany;",Hochschule Emden/Leer
Faculty of Business and Social Sciences Osnabrück University of Applied Sciences  Osnabrück Germany,Universität Osnabrück
"Faculty of Business, Management and Social Science, Department Movement and Rehabilitation science Caprivistrasse 30a, Osnabrück Germany",Universität Osnabrück
"Faculty of Economics and Management, Leibniz University Hannover, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover
"Faculty of Economics and Social Sciences, Osnabrück University of Applied Sciences , Osnabrück , Germany",Universität Osnabrück
"Faculty of Education and Social Sciences, Universität Vechta, 49377 Vechta, Germany",Universität Vechta
"Faculty of Engineering and Compter Science, Hochschule Osnabrueck University of Applied Science, 49076 Osnabrueck, Germany",Universität Osnabrück
Faculty of Engineering and Computer Science University of Applied Sciences Osnabruck  Osnabruck Germany,Universität Osnabrück
"Faculty of Engineering and Computer Science, Material Science and Analysis, University of Applied Sciences Osnabrück, Albrechtstraße 30, 49076, Osnabrück, Germany",Universität Osnabrück
"Faculty of Engineering and Computer Science, Osnabrück University of Applied Sciences, Osnabrück, Germany",Hochschule Osnabrück
"Faculty of Engineering and Computer Science, University of Applied Sciences Osnabrck, Osnabrck, Germany",Universität Osnabrück
"Faculty of Health and Social Work, University of Applied Sciences Emden/ Leer, Emden, Germany",Hochschule Emden/Leer
"Faculty of Human Sciences, Osnabrück University",Hochschule Osnabrück
"Faculty of Life Science Braunschweig University of Technology, Institute of Microbiology  Braunschweig Germany",Technische Universität Braunschweig
"Faculty of Life Science Braunschweig University of Technology, Institute of Microbiology Braunschweig Germany",Technische Universität Braunschweig
"Faculty of Physics, Institute for the Dynamics of Complex Systems, Georg August University of Göttingen, Friedrich-Hund-Platz 1, 37077, Göttingen, Germany. jan@schluetergroup.org",Georg-August-Universität Göttingen
"Faculty of Physics, Institute for the Dynamics of Complex Systems, Georg August University of Göttingen, Friedrich-Hund-Platz 1, 37077, Göttingen, Germany. marc.timme@tu-dresden.de",Georg-August-Universität Göttingen
"Faculty of Physics, Physics Education Research, University of Göttingen, Friedrich-Hund-Platz, 37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Faculty of Physics, University of Göttingen, Friedrich-Hund-Platz 1, 37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Faculty of Physics, University of Göttingen, Friedrich-Hund-Platz 1, 37077Göttingen, Germany",Georg-August-Universität Göttingen
"Faculty of Physics, University of Göttingen, Friedrich-Hund-Platz 1, D-37077 Göttingen, Germany",Georg-August-Universität Göttingen
"Faculty of Resource Management, University of Applied Sciences and Arts (HAWK), Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst
Faculty of Social Work and Health University of Applied Sciences and Arts  Hildesheim Germany,Stiftung Universität Hildesheim
"Faculty of Social Work and Health, HAWK, Hildesheim, Germany",Stiftung Universität Hildesheim
"Faculty of Sustainability, Leuphana University of Lüneburg, Universitätsallee 1, 21335 Lüneburg, Germany",Leuphana Universität Lüneburg
"Faculty of Sustainability, Leuphana University of Lüneburg, Universitätsallee 1, 21335, Lüneburg, Germany",Leuphana Universität Lüneburg
Faculty of Technology University of Applied Sciences Emden/Leer  Emden Germany,Hochschule Emden/Leer
Faculty of Technology University of Applied Sciences Emden/Leer Emden Germany,Hochschule Emden/Leer
"Faculty of Technology, Microbiology – Biotechnology University of Applied Sciences Emden/Leer  Emden Germany",Hochschule Emden/Leer
"Faculty of Technology, University of Applied Sciences Emden/Leer, Germany",Hochschule Emden/Leer
"Fakultät II-Natur- und Sozialwissenschaften Department, University of Vechta, Fach Biologie, Driverstraße 22, 49377 Vechta, Germany",Universität Vechta
"Fakultät III, Dep. Information & Communication, Medical Information Management, Hochschule Hannover - University of Applied Sciences and Arts, Expo Plaza 12, 30539, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"Fakultät Soziale Arbeit und Gesundheit, HAWK Hildesheim/Holzminden/Göttingen, Goschentor 1, 31134, Hildesheim, Deutschland. annette.probst@hawk.de",HAWK Hochschule für angewandte Wissenschaft und Kunst
"Fakultät für Soziale Arbeit und Gesundheit, HAWK: Hochschule für angewandte Wissenschaft und Kunst Hildesheim, Hildesheim, Deutschland. larissa.pagels@uni-luebeck.de",Stiftung Universität Hildesheim
"Fertility Centre and Human Genetics, Gartenstrasse 18-20, 31141 Hildesheim, Germany",Stiftung Universität Hildesheim
"Feuerwehr, Stadt Braunschweig, Braunschweig, Deutschland. Electronic address: andreas.guenther@braunschweig.de",Technische Universität Braunschweig
"Feuerwehr, Stadt Braunschweig, Eisenbütteler Straße 2, 38122 Braunschweig, Deutschland",Technische Universität Braunschweig
"Filz Engineering, Bertramstraße 3, 38102 Braunschweig, Germany",Hochschule für Bildende Künste Braunschweig
Fish Disease Research Unit Centre for Infection Medicine University of Veterinary Medicine Hannover Germany,Medizinische Hochschule Hannover (MHH)
"Fish Disease Research Unit, Centre for Infection Medicine University of Veterinary Medicine  Hannover Germany",Medizinische Hochschule Hannover (MHH)
"ForWind and Institute of Physics, Carl-von-Ossietzky University Oldenburg 2 , Küpkersweg 70, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"ForWind, Carl von Ossietzky University Oldenburg, Küpkersweg 70, 26129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"Forest Botany and Tree Physiology, Büsgen Institute, Georg-August University of Göttingen, Göttingen, Germany",Georg-August-Universität Göttingen
"Forschungsinstitut Gesellschaftlicher Zusammenhalt (FGZ Göttingen), Soziologisches Forschungsinstitut Göttingen (SOFI), Friedländer Weg 31, 37085, Göttingen, Deutschland",Georg-August-Universität Göttingen
Forschungszentrum Energiespeichertechnologien Rock Mechanics Am Stollen 19A 38640 Goslar Deutschland,Technische Universität Clausthal
Forschungszentrum Energiespeichertechnologien Rock Mechanics Am Stollen 19A Goslar Deutschland,Technische Universität Clausthal
"Frauenärzte Am Bahnhofsplatz, Hildesheim, Germany",Stiftung Universität Hildesheim
"Freie Journalistin, Lüneburg, Deutschland",Leuphana Universität Lüneburg
"Freie Journalistin, Lüneburg, Germany",Leuphana Universität Lüneburg
"Freie Medizinjournalistin, Abt-Führer-Str. 9 a, 82256, Fürstenfeldbruck, Germany. hofmann_assmus@t-online.de",Universität Osnabrück
